 ,value
scen1157,0.0004
scen1158,0.0006
scen1159,0.0008
scen1160,0.0004
scen1161,0.001
scen1162,0.0014
scen1163,0.0012
scen1164,0.001
scen1165,0.0012
scen1166,0.0008
scen1167,0.0012
scen1168,0.0008
scen1169,0.0022
scen1170,0.0016
scen1171,0.0008
scen1172,0.0018
scen1173,0.0014
scen1174,0.001
scen1175,0.0014
scen1176,0.0016
scen1177,0.0006
scen1178,0.001
scen1179,0.0012
scen1180,0.001
scen1181,0.0006
scen1182,0.001
scen1183,0.001
scen1184,0.001
scen1185,0.0012
scen1186,0.001
scen1187,0.0014
scen1188,0.0014
scen1189,0.001
scen1190,0.0008
scen1191,0.0008
scen1192,0.0012
scen1193,0.001
scen1194,0.0008
scen1195,0.0008
scen1196,0.0014
scen1197,0.0008
scen1198,0.0012
scen1199,0.0006
scen1200,0.0006
scen1201,0.0008
scen1202,0.0006
scen1203,0.0012
scen1204,0.0012
scen1205,0.0012
scen1206,0.0008
scen1207,0.0016
scen1208,0.0006
scen1209,0.0004
scen1210,0.0014
scen1211,0.0012
scen1212,0.0008
scen1213,0.0012
scen1214,0.0014
scen1215,0.001
scen1216,0.0006
scen1217,0.0006
scen1218,0.001
scen1219,0.0006
scen1220,0.0012
scen1221,0.0006
scen1222,0.0006
scen1223,0.0006
scen1224,0.0012
scen1225,0.002
scen1226,0.001
scen1227,0.0012
scen1228,0.0012
scen1229,0.0006
scen1230,0.001
scen1231,0.0006
scen1232,0.0006
scen1233,0.0006
scen1234,0.0008
scen1235,0.0006
scen1236,0.0006
scen1237,0.001
scen1238,0.0006
scen1239,0.0008
scen1240,0.0004
scen1241,0.0012
scen1242,0.0008
scen1243,0.0006
scen1244,0.0006
scen1245,0.0004
scen1246,0.001
scen1247,0.0006
scen1248,0.0004
scen1249,0.0004
scen1250,0.0008
scen1251,0.0006
scen1252,0.0006
scen1253,0.0008
scen1254,0.001
scen1255,0.0006
scen1256,0.0004
scen1257,0.0006
scen1258,0.0002
scen1259,0.0008
scen1260,0.0006
scen1261,0.0004
scen1262,0.0006
scen1263,0.0004
scen1264,0.0004
scen1265,0.0012
scen1266,0.0008
scen1267,0.0006
scen1268,0.0004
scen1269,0.0008
scen1270,0.001
scen1271,0.001
scen1272,0.0004
scen1273,0.0004
scen1274,0.0004
scen1275,0.0004
scen1276,0.0006
scen1277,0.0006
scen1278,0.0006
scen1279,0.0006
scen1280,0.0004
scen1281,0.0004
scen1282,0.0006
scen1283,0.0008
scen1284,0.0006
scen1285,0.0002
scen1286,0.0006
scen1287,0.0004
scen1288,0.0006
scen1289,0.0008
scen1290,0.0004
scen1291,0.001
scen1292,0.001
scen1293,0.0006
scen1294,0.0008
scen1295,0.0012
scen1296,0.0008
scen1297,0.0004
scen1298,0.0008
scen1299,0.0004
scen1300,0.0008
scen1301,0.001
scen1302,0.0004
scen1303,0.0004
scen1304,0.0008
scen1305,0.0012
scen1306,0.001
scen1307,0.0012
scen1308,0.001
scen1309,0.0008
scen1310,0.0014
scen1311,0.0012
scen1312,0.001
scen1313,0.0016
scen1314,0.001
scen1315,0.0012
scen1316,0.001
scen1317,0.001
scen1318,0.0008
scen1319,0.001
scen1320,0.0006
scen1321,0.0014
scen1322,0.0012
scen1323,0.001
scen1324,0.0006
scen1325,0.0012
scen1326,0.0008
scen1327,0.0004
scen1328,0.0012
scen1329,0.0012
scen1330,0.0014
scen1331,0.0014
scen1332,0.001
scen1333,0.0012
scen1334,0.0008
scen1335,0.002
scen1336,0.001
scen1337,0.0008
scen1338,0.0008
scen1339,0.0006
scen1340,0.0008
scen1341,0.001
scen1342,0.0006
scen1343,0.0006
scen1344,0.0008
scen1345,0.0006
scen1346,0.0012
scen1347,0.0012
scen1348,0.0008
scen1349,0.0008
scen1350,0.0016
scen1351,0.0006
scen1352,0.0008
scen1353,0.0008
scen1354,0.0006
scen1355,0.0008
scen1356,0.0012
scen1357,0.0006
scen1358,0.001
scen1359,0.0006
scen1360,0.0006
scen1361,0.001
scen1362,0.0006
scen1363,0.0004
scen1364,0.0006
scen1365,0.0006
scen1366,0.0006
scen1367,0.0008
scen1368,0.001
scen1369,0.001
scen1370,0.0012
scen1371,0.0012
scen1372,0.0006
scen1373,0.001
scen1374,0.0006
scen1375,0.0006
scen1376,0.0006
scen1377,0.0008
scen1378,0.0006
scen1379,0.0008
scen1380,0.001
scen1381,0.0008
scen1382,0.0008
scen1383,0.0004
scen1384,0.0012
scen1385,0.0008
scen1386,0.0006
scen1387,0.0006
scen1388,0.0004
scen1389,0.001
scen1390,0.0006
scen1391,0.0004
scen1392,0.0004
scen1393,0.0004
scen1394,0.0006
scen1395,0.0006
scen1396,0.0006
scen1397,0.001
scen1398,0.0006
scen1399,0.0004
scen1400,0.0006
scen1401,0.0002
scen1402,0.0008
scen1403,0.0006
scen1404,0.0004
scen1405,0.0006
scen1406,0.0004
scen1407,0.0004
scen1408,0.0012
scen1409,0.0008
scen1410,0.0006
scen1411,0.0004
scen1412,0.0008
scen1413,0.001
scen1414,0.001
scen1415,0.0004
scen1416,0.0004
scen1417,0.0004
scen1418,0.0004
scen1419,0.0006
scen1420,0.0006
scen1421,0.0006
scen1422,0.0006
scen1423,0.0004
scen1424,0.0006
scen1425,0.0006
scen1426,0.0008
scen1427,0.0006
scen1428,0.0002
scen1429,0.0006
scen1430,0.0004
scen1431,0.0006
scen1432,0.0004
scen1433,0.0004
scen1434,0.0004
scen1435,0.0006
scen1436,0.0006
scen1437,0.0008
scen1438,0.0012
scen1439,0.0008
scen1440,0.0004
scen1441,0.0008
scen1442,0.0004
scen1443,0.0008
scen1444,0.001
scen1445,0.0004
scen1446,0.0004
scen1447,0.0006
scen1448,0.0002
scen1449,0.0006
scen1450,0.0004
scen1451,0.0004
scen1452,0.0008
scen1453,0.0002
scen1454,0.0006
scen1455,0.0006
scen1456,0.001
scen1457,0.001
scen1458,0.0004
scen1459,0.0006
scen1460,0.0006
scen1461,0.0006
scen1462,0.0014
scen1463,0.0016
scen1464,0.001
scen1465,0.0012
scen1466,0.0012
scen1467,0.0012
scen1468,0.001
scen1469,0.002
scen1470,0.001
scen1471,0.0006
scen1472,0.001
scen1473,0.0004
scen1474,0.0014
scen1475,0.0006
scen1476,0.0012
scen1477,0.001
scen1478,0.0006
scen1479,0.0014
scen1480,0.001
scen1481,0.001
scen1482,0.0012
scen1483,0.0012
scen1484,0.0008
scen1485,0.0008
scen1486,0.0012
scen1487,0.0008
scen1488,0.0006
scen1489,0.0006
scen1490,0.0006
scen1491,0.0006
scen1492,0.0008
scen1493,0.001
scen1494,0.001
scen1495,0.0008
scen1496,0.0008
scen1497,0.0006
scen1498,0.0008
scen1499,0.0004
scen1500,0.0006
scen1501,0.0006
scen1502,0.0008
scen1503,0.0006
scen1504,0.0006
scen1505,0.0006
scen1506,0.0008
scen1507,0.0006
scen1508,0.0008
scen1509,0.0006
scen1510,0.0006
scen1511,0.0008
scen1512,0.0006
scen1513,0.0012
scen1514,0.0012
scen1515,0.0006
scen1516,0.001
scen1517,0.0008
scen1518,0.0004
scen1519,0.001
scen1520,0.0006
scen1521,0.0004
scen1522,0.0008
scen1523,0.0006
scen1524,0.0006
